,file_name,Longitudinal,Chain,Author,Isotype,Age,Size_igblastn,Disease,Link,BSource,BType,Size,Species,Vaccine,Subject,valid_entry_num
49,Bonsignori_2016_Hiv_infected_week-264_Bulk_HIV_infected_week-264_week_repeat-1_PBMC_iglblastn_igblastn_Bulk,Week-264,Heavy,"Bonsignori et al., (2016)",Bulk,no,4527,HIV,https://doi.org/10.1016/j.cell.2016.02.022,PBMC,Memory-B-Cells,1998,human,None,CH505,130
50,Bonsignori_2016_Hiv_infected_week-264_Bulk_HIV_infected_week-264_week_repeat-2_PBMC_iglblastn_igblastn_Bulk,Week-264,Heavy,"Bonsignori et al., (2016)",Bulk,no,3832,HIV,https://doi.org/10.1016/j.cell.2016.02.022,PBMC,Memory-B-Cells,1778,human,None,CH505,111
56,Bonsignori_2016_Hiv_infected_week-323_Bulk_HIV_infected_week-323_week_repeat-2_PBMC_iglblastn_igblastn_Bulk,Week-323,Heavy,"Bonsignori et al., (2016)",Bulk,no,13032,HIV,https://doi.org/10.1016/j.cell.2016.02.022,PBMC,Memory-B-Cells,6080,human,None,CH505,419
57,Bonsignori_2016_Hiv_infected_week-323_Bulk_HIV_infected_week-323_week_repeat-3_PBMC_iglblastn_igblastn_Bulk,Week-323,Heavy,"Bonsignori et al., (2016)",Bulk,no,4192,HIV,https://doi.org/10.1016/j.cell.2016.02.022,PBMC,Memory-B-Cells,1884,human,None,CH505,81
58,Bonsignori_2016_Hiv_infected_week-323_Bulk_HIV_infected_week-323_week_repeat-6_PBMC_iglblastn_igblastn_Bulk,Week-323,Heavy,"Bonsignori et al., (2016)",Bulk,no,268,HIV,https://doi.org/10.1016/j.cell.2016.02.022,PBMC,Memory-B-Cells,84,human,None,CH505,4
898,Ellebedy_2016_Day-0_memory-B-cell_IGHA_memory-B-cell_Day-0_Donor-4_igblastn_IGHA,Day-0,Heavy,"Ellebedy et al., (2016)",IGHA,18-49,50519,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,34975,human,None,Donor-4,839
899,Ellebedy_2016_Day-0_memory-B-cell_IGHA_memory-B-cell_Day-0_Donor-5_igblastn_IGHA,Day-0,Heavy,"Ellebedy et al., (2016)",IGHA,18-49,59091,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,43137,human,None,Donor-5,2123
900,Ellebedy_2016_Day-0_memory-B-cell_IGHA_memory-B-cell_Day-0_Donor-6_igblastn_IGHA,Day-0,Heavy,"Ellebedy et al., (2016)",IGHA,18-49,84333,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,61336,human,None,Donor-6,2019
901,Ellebedy_2016_Day-0_memory-B-cell_IGHG_memory-B-cell_Day-0_Donor-4_igblastn_IGHG,Day-0,Heavy,"Ellebedy et al., (2016)",IGHG,18-49,52891,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,41221,human,None,Donor-4,1028
902,Ellebedy_2016_Day-0_memory-B-cell_IGHG_memory-B-cell_Day-0_Donor-5_igblastn_IGHG,Day-0,Heavy,"Ellebedy et al., (2016)",IGHG,18-49,108200,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,75948,human,None,Donor-5,2701
