file_name	Longitudinal	Chain	Author	Isotype	Age	Size_igblastn	Disease	Link	BSource	BType	Size	Species	Vaccine	Subject	valid_entry_num
Ellebedy_2016_Day-0_memory-B-cell_IGHA_memory-B-cell_Day-0_Donor-4_igblastn_IGHA	Day-0	Heavy	Ellebedy et al., (2016)	IGHA	18-49	50519	None	https://www.nature.com/articles/ni.3533	PBMC	Memory-B-Cells	34975	human	None	Donor-4	839
Ellebedy_2016_Day-0_memory-B-cell_IGHA_memory-B-cell_Day-0_Donor-5_igblastn_IGHA	Day-0	Heavy	Ellebedy et al., (2016)	IGHA	18-49	59091	None	https://www.nature.com/articles/ni.3533	PBMC	Memory-B-Cells	43137	human	None	Donor-5	2123
Ellebedy_2016_Day-0_memory-B-cell_IGHA_memory-B-cell_Day-0_Donor-6_igblastn_IGHA	Day-0	Heavy	Ellebedy et al., (2016)	IGHA	18-49	84333	None	https://www.nature.com/articles/ni.3533	PBMC	Memory-B-Cells	61336	human	None	Donor-6	2019
Ellebedy_2016_Day-0_memory-B-cell_IGHG_memory-B-cell_Day-0_Donor-4_igblastn_IGHG	Day-0	Heavy	Ellebedy et al., (2016)	IGHG	18-49	52891	None	https://www.nature.com/articles/ni.3533	PBMC	Memory-B-Cells	41221	human	None	Donor-4	1028
Ellebedy_2016_Day-0_memory-B-cell_IGHG_memory-B-cell_Day-0_Donor-5_igblastn_IGHG	Day-0	Heavy	Ellebedy et al., (2016)	IGHG	18-49	108200	None	https://www.nature.com/articles/ni.3533	PBMC	Memory-B-Cells	75948	human	None	Donor-5	2701
Ellebedy_2016_Day-0_memory-B-cell_IGHG_memory-B-cell_Day-0_Donor-6_igblastn_IGHG	Day-0	Heavy	Ellebedy et al., (2016)	IGHG	18-49	121448	None	https://www.nature.com/articles/ni.3533	PBMC	Memory-B-Cells	93596	human	None	Donor-6	4319
Ellebedy_2016_Day-0_memory-B-cell_IGHM_memory-B-cell_Day-0_Donor-4_igblastn_IGHM	Day-0	Heavy	Ellebedy et al., (2016)	IGHM	18-49	53289	None	https://www.nature.com/articles/ni.3533	PBMC	Memory-B-Cells	45237	human	None	Donor-4	1185
Ellebedy_2016_Day-0_memory-B-cell_IGHM_memory-B-cell_Day-0_Donor-5_igblastn_IGHM	Day-0	Heavy	Ellebedy et al., (2016)	IGHM	18-49	76563	None	https://www.nature.com/articles/ni.3533	PBMC	Memory-B-Cells	57843	human	None	Donor-5	2852
Ellebedy_2016_Day-0_memory-B-cell_IGHM_memory-B-cell_Day-0_Donor-6_igblastn_IGHM	Day-0	Heavy	Ellebedy et al., (2016)	IGHM	18-49	55648	None	https://www.nature.com/articles/ni.3533	PBMC	Memory-B-Cells	43094	human	None	Donor-6	1751
Ellebedy_2016_Day-0_naive-B-cell_Bulk_naive-B-cell_Day-0_Donor-6_igblastn_Bulk	Day-0	Heavy	Ellebedy et al., (2016)	Bulk	18-49	17	None	https://www.nature.com/articles/ni.3533	PBMC	Naive-B-Cells	12	human	None	Donor-6	2
Ellebedy_2016_Day-0_naive-B-cell_IGHA_naive-B-cell_Day-0_Donor-4_igblastn_IGHA	Day-0	Heavy	Ellebedy et al., (2016)	IGHA	18-49	20	None	https://www.nature.com/articles/ni.3533	PBMC	Naive-B-Cells	20	human	None	Donor-4	1
Ellebedy_2016_Day-0_naive-B-cell_IGHA_naive-B-cell_Day-0_Donor-4_igblastn_IGHA	Day-0	Heavy	Ellebedy et al., (2016)	IGHA	18-49	20	None	https://www.nature.com/articles/ni.3533	PBMC	Naive-B-Cells	20	human	None	Donor-4	1
Ellebedy_2016_Day-0_naive-B-cell_IGHA_naive-B-cell_Day-0_Donor-5_igblastn_IGHA	Day-0	Heavy	Ellebedy et al., (2016)	IGHA	18-49	7494	None	https://www.nature.com/articles/ni.3533	PBMC	Naive-B-Cells	5152	human	None	Donor-5	123
Ellebedy_2016_Day-0_naive-B-cell_IGHA_naive-B-cell_Day-0_Donor-6_igblastn_IGHA	Day-0	Heavy	Ellebedy et al., (2016)	IGHA	18-49	14481	None	https://www.nature.com/articles/ni.3533	PBMC	Naive-B-Cells	9151	human	None	Donor-6	147
Ellebedy_2016_Day-0_naive-B-cell_IGHD_naive-B-cell_Day-0_Donor-5_igblastn_IGHD	Day-0	Heavy	Ellebedy et al., (2016)	IGHD	18-49	142	None	https://www.nature.com/articles/ni.3533	PBMC	Naive-B-Cells	119	human	None	Donor-5	7
Ellebedy_2016_Day-0_naive-B-cell_IGHD_naive-B-cell_Day-0_Donor-6_igblastn_IGHD	Day-0	Heavy	Ellebedy et al., (2016)	IGHD	18-49	22713	None	https://www.nature.com/articles/ni.3533	PBMC	Naive-B-Cells	16880	human	None	Donor-6	812
Ellebedy_2016_Day-0_naive-B-cell_IGHG_naive-B-cell_Day-0_Donor-4_igblastn_IGHG	Day-0	Heavy	Ellebedy et al., (2016)	IGHG	18-49	369	None	https://www.nature.com/articles/ni.3533	PBMC	Naive-B-Cells	342	human	None	Donor-4	5
Ellebedy_2016_Day-0_naive-B-cell_IGHG_naive-B-cell_Day-0_Donor-5_igblastn_IGHG	Day-0	Heavy	Ellebedy et al., (2016)	IGHG	18-49	15253	None	https://www.nature.com/articles/ni.3533	PBMC	Naive-B-Cells	12074	human	None	Donor-5	312
Ellebedy_2016_Day-0_naive-B-cell_IGHG_naive-B-cell_Day-0_Donor-6_igblastn_IGHG	Day-0	Heavy	Ellebedy et al., (2016)	IGHG	18-49	4801	None	https://www.nature.com/articles/ni.3533	PBMC	Naive-B-Cells	2315	human	None	Donor-6	104
